RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),MARKET VALUE,EMPLOYEES,CHANGE IN RANK,CEO GENDER,Sector,City,STATE,YEAR
465,NCR,"6,405.00",-1.7,-88.00,-137.9,"7,761.00","3,245.90",34000,-33,male,Technology,Atlanta,Georgia,2019
466,iHeartMedia,"6,325.80",2.6,-201.90,-,"12,269.50",97.40,18300,-14,male,Media,San Antonio,Texas,2019
467,Franklin Resources,"6,319.10",-1.1,764.40,-54.9,"14,383.50","16,885.20",9691,-26,male,Financials,San Mateo,California,2019
468,Ameren,"6,291.00",1.8,815.00,55.8,"27,215.00","18,050.60",8838,-15,male,Energy,St. Louis,Missouri,2019
469,Intercontinental Exchange,"6,276.00",7.6,"1,988.00",-20.9,"92,791.00","43,074.10",5161,8,male,Financials,Atlanta,Georgia,2019
470,S&P Global,"6,258.00",3.2,"1,958.00",30.9,"9,458.00","51,812.40",21200,-7,male,Business Services,New York,New York,2019
471,Post Holdings,"6,257.20",19.7,467.30,867.5,"13,057.50","7,274.60",11550,41,male,"Food, Beverages & Tobacco",St. Louis,Missouri,2019
472,Analog Devices,"6,200.90",21.4,"1,495.40",105.6,"20,449.80","38,772.40",15800,48,male,Technology,Wilmington,Massachusetts,2019
473,Ralph Lauren,"6,182.30",-7.1,162.80,-,"6,143.30","10,195.70",18150,-52,male,Apparel,New York,New York,2019
474,L3Harris Technologies,"6,182.00",-10.9,718.00,29.8,"9,839.00","18,839.50",17500,-67,male,Aerospace & Defense,Melbourne,Florida,2019
475,Booz Allen Hamilton,"6,171.90",6.3,305.10,20.8,"3,603.40","8,144.40",24600,7,male,Technology,McLean,Virginia,2019
476,Polaris Industries,"6,166.00",12,335.30,94.4,"4,124.90","5,152.90",12000,20,male,Transportation,Medina,Minnesota,2019
477,Clorox,"6,124.00",2.5,823.00,17.4,"5,060.00","20,565.20",8700,-9,male,Household Products,Oakland,California,2019
478,Realogy Holdings,"6,079.00",-0.6,137.00,-68.2,"7,290.00","1,301.90",11400,-20,male,Financials,Madison,New Jersey,2019
479,HD Supply Holdings,"6,047.00",-7.5,394.00,-59.4,"4,233.00","7,402.10",11500,-49,male,Wholesalers,Atlanta,Georgia,2019
480,Graphic Packaging Holding,"6,023.00",36.8,221.10,-26.3,"7,059.20","3,733.30",18000,85,male,Materials,Atlanta,Georgia,2019
481,Old Republic International,"6,021.80",-3.9,370.50,-33.9,"19,327.10","6,334.10",9000,-31,male,Financials,Chicago,Illinois,2019
482,Intuit,"5,964.00",15.2,"1,211.00",24.7,"5,178.00","67,724.30",8900,34,male,Technology,Mountain View,California,2019
483,NetApp,"5,911.00",7.1,76.00,-85.1,"9,865.00","17,125.20",10300,12,male,Technology,Sunnyvale,California,2019
484,Tapestry,"5,880.00",31,397.50,-32.7,"6,678.30","9,421.40",16900,71,male,Apparel,New York,New York,2019
485,ON Semiconductor,"5,878.30",6,627.40,-22.6,"7,587.60","8,474.80",35700,7,male,Technology,Phoenix,Arizona,2019
486,Ingredion,"5,841.00",0.2,443.00,-14.6,"5,728.00","6,312.70",11000,-8,male,"Food, Beverages & Tobacco",Westchester,Illinois,2019
487,Zoetis,"5,825.00",9.8,"1,428.00",65.3,"10,777.00","48,198.00",10000,20,female,Health Care,Parsippany,New Jersey,2019
488,Fiserv,"5,823.00",2.2,"1,187.00",-4.7,"11,262.00","34,603.10",24000,-1,male,Business Services,Brookfield,Wisconsin,2019
489,TreeHouse Foods,"5,812.10",-7.8,-61.40,-,"5,599.30","3,614.10",12700,-43,male,"Food, Beverages & Tobacco",Oak Brook,Illinois,2019
490,Robert Half International,"5,800.30",10.1,434.30,49.5,"1,903.10","7,759.20",18900,21,male,Business Services,Menlo Park,California,2019
491,First American Financial,"5,747.80",-0.4,474.50,12.2,"10,630.60","5,765.30",18251,-8,male,Financials,Santa Ana,California,2019
492,Harley-Davidson,"5,716.90",1.2,531.50,1.9,"10,665.70","5,670.70",5900,-4,male,Transportation,Milwaukee,Wisconsin,2019
493,Windstream Holdings,"5,713.10",-2.4,-723.00,-,"10,257.90",12.90,11945,-19,male,Telecommunications,Little Rock,Arkansas,2019
494,Yum Brands,"5,688.00",-3.2,"1,542.00",15.1,"4,130.00","30,583.20",34000,-22,male,"Hotels, Restaurants & Leisure",Louisville,Kentucky,2019
495,Williams-Sonoma,"5,671.60",7.2,333.70,28.6,"2,812.80","4,434.80",19800,13,female,Retailing,San Francisco,California,2019
496,Simon Property Group,"5,657.90",2.2,"2,440.10",25.3,"30,686.20","56,301.70",4150,-3,male,Financials,Indianapolis,Indiana,2019
497,Navient,"5,610.00",8.3,395.00,35.3,"104,176.00","2,828.90",6500,18,male,Financials,Wilmington,Delaware,2019
498,Western Union,"5,589.90",1.2,851.90,-,"8,996.80","8,050.90",12000,-4,male,Business Services,Denver,Colorado,2019
499,Peabody Energy,"5,581.80",0.1,646.90,-,"7,423.70","3,065.60",7400,-8,male,Energy,St. Louis,Missouri,2019
500,Levi Strauss,"5,575.40",13.7,283.10,0.6,"3,542.70","9,207.80",15100,30,male,Apparel,San Francisco,California,2019
501,Avon Products,"5,571.30",-2.5,-19.50,-188.6,"3,010.00","1,300.70",23000,-16,male,Household Products,London,United Kingdom,2019
502,Host Hotels & Resorts,"5,524.00",2.5,"1,087.00",92.7,"12,090.00","13,994.90",184,-,male,Financials,Bethesda,Maryland,2019
503,Kelly Services,"5,513.90",2.6,22.90,-68,"2,314.40",862.10,7900,-,male,Business Services,Troy,Michigan,2019
504,Rush Enterprises,"5,506.20",16.8,139.10,-19.2,"3,201.40","1,523.90",7214,42,male,Retailing,New Braunfels,Texas,2019
505,Spectrum Brands Holdings,"5,505.50",-17.2,768.30,624.8,"7,747.70","2,695.00",13000,-83,male,Household Products,Middleton,Wisconsin,2019
506,Securian Financial Group,"5,495.80",-9.4,322.40,-23,"51,887.80",-,5300,-44,male,Financials,St. Paul,Minnesota,2019
507,Diplomat Pharmacy,"5,492.50",22.5,-302.30,-2048.9,"1,476.40",432.80,2234,49,male,Health Care,Flint,Michigan,2019
508,Fortune Brands Home & Security,"5,485.10",3.8,389.60,-17.6,"5,964.60","6,707.00",25300,1,male,Household Products,Deerfield,Illinois,2019
509,TD Ameritrade Holding,"5,473.00",48.5,"1,473.00",68.9,"37,520.00","28,051.50",9183,121,male,Financials,Omaha,Nebraska,2019
510,Patterson,"5,465.70",-2.3,201.00,17.6,"3,471.70","2,079.40",7700,-20,male,Health Care,Mendota Heights,Minnesota,2019
511,Domtar,"5,455.00",5.8,283.00,-,"4,925.00","3,124.20",10000,6,male,Materials,Fort Mill,South Carolina,2019
512,FM Global,"5,427.30",11.3,161.40,-36.5,"22,207.50",-,5475,22,male,Financials,Johnston,Rhode Island,2019
513,Crown Castle International,"5,423.00",24.5,671.00,50.9,"32,785.00","53,192.80",5000,60,male,Financials,Houston,Texas,2019
514,McCormick,"5,408.90",11.9,933.40,95.5,"10,256.40","19,874.00",11600,25,male,"Food, Beverages & Tobacco",Hunt Valley,Maryland,2019
515,Cincinnati Financial,"5,407.50",-5.7,287.10,-72.5,"21,934.80","14,012.70",4999,-31,male,Financials,Fairfield,Ohio,2019
516,Hanover Insurance Group,"5,406.70",4.3,391.00,110,"12,399.70","4,645.50",4200,-2,male,Financials,Worcester,Massachusetts,2019
517,Conduent,"5,393.00",-10.4,-416.00,-329.8,"6,680.00","2,926.40",82000,-51,male,Business Services,Florham Park,New Jersey,2019
518,Sonoco Products,"5,390.90",7,313.60,78.8,"4,583.50","6,155.10",23000,5,male,Materials,Hartsville,South Carolina,2019
519,T. Rowe Price,"5,372.60",12.1,"1,837.50",22.7,"7,689.30","23,699.00",7022,21,male,Financials,Baltimore,Maryland,2019
520,Cerner,"5,366.30",4.4,630.10,-27.3,"6,708.60","18,556.70",29200,-1,male,Health Care,North Kansas City,Missouri,2019
521,Knight-Swift Transportation Holdings,"5,344.10",120.3,419.30,-13.4,"7,911.90","5,653.90",22700,328,male,Transportation,Phoenix,Arizona,2019
522,RPM International,"5,321.60",7.3,337.80,85.8,"5,271.80","7,640.70",14540,6,male,Chemicals,Medina,Ohio,2019
523,Michaels Cos.,"5,271.90",-1.7,319.50,-18.2,"2,128.30","1,801.80",29500,-18,male,Retailing,Irving,Texas,2019
524,Huntington Bancshares,"5,270.00",11.2,"1,393.00",17.5,"108,781.00","13,326.10",15693,20,male,Financials,Columbus,Ohio,2019
525,Big Lots,"5,238.10",-0.6,156.90,-17.4,"2,023.30","1,522.60",23250,-15,male,Retailing,Columbus,Ohio,2019
526,KKR,"5,222.40",-11.9,"1,131.10",11.1,"50,743.40","19,557.00",1301,-56,male,Financials,New York,New York,2019
527,Sprouts Farmers Market,"5,207.30",11.6,158.50,0.1,"1,675.60","2,663.90",30000,23,male,Food & Drug Stores,Phoenix,Arizona,2019
528,Xylem,"5,207.00",10.6,549.00,65.9,"7,222.00","14,191.80",17000,19,male,Industrials,Rye Brook,New York,2019
529,Under Armour,"5,193.20",4.4,-46.30,-,"4,245.00","8,935.80",11000,-2,male,Apparel,Baltimore,Maryland,2019
530,Roper Technologies,"5,191.20",12.7,944.40,-2.8,"15,249.50","35,430.80",15611,22,male,Technology,Sarasota,Florida,2019
531,LPL Financial Holdings,"5,188.40",21.2,439.50,84,"5,477.50","5,873.90",4229,51,male,Financials,Fort Mill,South Carolina,2019
532,Brunswick,"5,159.20",5.3,265.30,81.2,"4,285.70","4,380.60",16038,-1,male,Transportation,Mettawa,Illinois,2019
533,Electronic Arts,"5,150.00",6.3,"1,043.00",7.9,"8,584.00","30,447.90",9300,4,male,Media,Redwood City,California,2019
534,Terex,"5,125.00",17.5,113.70,-11.7,"3,485.90","2,262.00",11700,38,male,Industrials,Westport,Connecticut,2019
535,NiSource,"5,114.50",4.9,-50.60,-139.4,"21,804.00","10,675.70",8087,-,male,Energy,Merrillville,Indiana,2019
536,Telephone & Data Systems,"5,109.00",1.3,135.00,-11.8,"9,783.00","3,497.80",9400,-15,male,Telecommunications,Chicago,Illinois,2019
537,YRC Worldwide,"5,092.00",4.1,20.20,-,"1,617.10",226.40,31000,-5,male,Transportation,Overland Park,Kansas,2019
538,Select Medical Holdings,"5,081.30",14.4,137.80,-22.2,"5,964.30","1,906.00",40400,23,male,Health Care,Mechanicsburg,Pennsylvania,2019
539,Equinix,"5,071.70",16.1,365.40,56.8,"20,244.60","37,933.00",7903,32,male,Financials,Redwood City,California,2019
540,Boise Cascade,"4,995.30",12.7,20.50,-75.3,"1,581.20","1,043.00",6210,22,male,Wholesalers,Boise,Idaho,2019
541,Noble Energy,"4,986.00",17.2,-66.00,-,"21,010.00","11,959.00",2330,42,male,Energy,Houston,Texas,2019
542,Schneider National,"4,977.00",13.5,268.90,-31,"3,624.50","3,739.60",19400,25,male,Transportation,Green Bay,Wisconsin,2019
543,Genesis Healthcare,"4,976.70",-7.4,-235.20,-,"4,263.60",233.00,61300,-39,male,Health Care,Kennett Square,Pennsylvania,2019
544,Fastenal,"4,965.10",13.1,751.90,29.9,"3,321.50","18,402.80",21644,22,male,Wholesalers,Winona,Minnesota,2019
545,Commercial Metals,"4,948.40",-1,138.50,198.9,"3,328.30","2,014.10",8900,-20,female,Materials,Irving,Texas,2019
546,EQT,"4,946.70",46.4,"-2,244.60",-248.8,"20,721.30","5,283.80",863,137,male,Energy,Pittsburgh,Pennsylvania,2019
547,Agilent Technologies,"4,914.00",9.9,316.00,-53.8,"8,541.00","25,521.90",14800,11,male,Technology,Santa Clara,California,2019
548,KBR,"4,913.00",17.8,281.00,-35.3,"5,072.00","2,691.90",25000,41,male,Engineering & Construction,Houston,Texas,2019
549,Neiman Marcus Group,"4,900.40",4.1,251.10,-,"7,545.90",-,13500,-1,male,Retailing,Dallas,Texas,2019
550,NortonLifeLock,"4,888.00",16.6,"1,138.00",-,"15,759.00","14,695.60",11830,36,male,Technology,Tempe,Arizona,2019
551,Chipotle Mexican Grill,"4,865.00",8.7,176.60,0.2,"2,265.50","19,693.70",73000,6,male,"Hotels, Restaurants & Leisure",Newport Beach,California,2019
552,Ametek,"4,845.90",12.7,777.90,14.2,"8,662.30","18,877.20",18200,27,male,Technology,Berwyn,Pennsylvania,2019
553,Camping World Holdings,"4,792.00",11.8,10.40,-63.3,"2,806.70","1,243.80",11835,28,male,Retailing,Lincolnshire,Illinois,2019
554,Smart & Final Stores,"4,741.80",3.7,-112.20,-,"1,711.90",378.00,7921,-1,male,Food & Drug Stores,Commerce,California,2019
555,Sealed Air,"4,732.70",-22.8,193.10,-76.3,"5,050.20","7,168.40",15500,-99,male,Materials,Charlotte,North Carolina,2019
556,FMC,"4,731.60",37.5,502.10,-6.3,"9,974.30","10,110.10",7300,117,male,Chemicals,Philadelphia,Pennsylvania,2019
557,Continental Resources,"4,709.60",50.9,988.30,25.2,"15,297.90","16,834.20",1221,163,male,Energy,Oklahoma City,Oklahoma,2019
558,Welltower,"4,700.50",8.9,805.00,54,"30,342.10","31,011.40",384,19,male,Financials,Toledo,Ohio,2019
559,Skechers U.S.A.,"4,662.70",11.5,301.00,68,"3,228.30","5,303.80",9000,29,male,Apparel,Manhattan Beach,California,2019
560,Science Applications International,"4,659.00",4.6,137.00,-23.5,"4,563.00","4,564.70",23127,-1,male,Technology,Reston,Virginia,2019
561,Wyndham Destinations,"4,651.00",-20.1,672.00,-22.8,"7,158.00","3,824.80",24500,-82,male,"Hotels, Restaurants & Leisure",Orlando,Florida,2019
562,Juniper Networks,"4,647.50",-7.6,566.90,85.1,"9,363.30","9,209.50",9283,-38,male,Technology,Sunnyvale,California,2019
563,Coca-Cola Consolidated,"4,625.40",7,-19.90,-120.6,"3,009.90","2,698.00",15200,13,male,"Food, Beverages & Tobacco",Charlotte,North Carolina,2019
564,Landstar System,"4,619.00",26.6,255.30,44.2,"1,380.60","4,388.40",1306,74,male,Transportation,Jacksonville,Florida,2019
565,National General Holdings,"4,608.00",4,207.40,95.9,"9,439.30","2,684.40",8440,-2,male,Financials,New York,New York,2019
566,ADT,"4,581.70",6.2,-609.20,-277.8,"17,208.60","4,834.70",19000,12,male,Business Services,Boca Raton,Florida,2019
567,Hasbro,"4,579.60",-12.1,220.40,-44.4,"5,263.00","10,699.10",5800,-54,male,Household Products,Pawtucket,Rhode Island,2019
568,Diebold Nixdorf,"4,578.60",-0.7,-568.70,-,"4,311.90",847.60,23000,-17,male,Technology,North Canton,Ohio,2019
569,CommScope Holding,"4,568.50",0.2,140.20,-27.6,"6,630.50","4,180.40",20000,-15,male,Technology,Hickory,North Carolina,2019
570,Carlisle,"4,549.00",11.2,611.10,67.2,"5,249.20","7,013.70",13950,25,male,Materials,Scottsdale,Arizona,2019
571,KB Home,"4,547.00",4.1,170.40,-5.7,"5,073.60","2,101.00",2005,-1,male,Engineering & Construction,Los Angeles,California,2019
572,Watsco,"4,546.70",4.7,242.90,16.7,"2,161.00","5,381.10",5200,3,male,Wholesalers,Miami,Florida,2019
573,Brookdale Senior Living,"4,531.40",-4.5,-528.30,-,"6,467.30","1,227.80",54300,-30,female,Health Care,Brentwood,Tennessee,2019
574,MDU Resources Group,"4,531.10",2,272.30,-3.2,"6,988.10","5,077.30",11797,-14,male,Energy,Bismarck,North Dakota,2019
575,Mattel,"4,510.90",-7.6,-531.00,-,"5,243.50","4,490.20",27000,-42,male,Household Products,El Segundo,California,2019
576,Universal Forest Products,"4,489.20",13.9,148.60,24.3,"1,647.50","1,833.20",12000,34,male,Materials,Grand Rapids,Michigan,2019
577,Hubbell,"4,481.70",22.2,360.20,48.2,"4,872.10","6,430.50",19700,55,male,Industrials,Shelton,Connecticut,2019
578,CACI International,"4,467.90",2.6,301.20,84,"4,034.20","4,525.50",18800,-4,male,Technology,Arlington,Virginia,2019
579,Tutor Perini,"4,454.70",-6.4,83.40,-43.8,"4,387.80",857.80,8200,-37,male,Engineering & Construction,Sylmar,California,2019
580,Hyatt Hotels,"4,454.00",-4.9,769.00,208.8,"7,643.00","7,691.40",54000,-31,male,"Hotels, Restaurants & Leisure",Chicago,Illinois,2019
581,Silgan Holdings,"4,448.90",8.8,224.00,-16.9,"4,579.30","3,272.00",13220,15,male,Materials,Stamford,Connecticut,2019
582,Moody's,"4,442.70",5.7,"1,309.60",30.9,"9,526.20","34,191.60",13057,3,male,Business Services,New York,New York,2019
583,Tiffany,"4,442.10",6.5,586.40,58.4,"5,333.00","12,819.50",14200,7,male,Retailing,New York,New York,2019
584,CF Industries Holdings,"4,428.90",7.2,289.80,-19,"12,661.30","9,091.60",3055,10,male,Chemicals,Deerfield,Illinois,2019
585,Hub Group,"4,423.10",9.6,201.70,49.3,"1,924.90","1,420.50",5400,14,male,Transportation,Oak Brook,Illinois,2019
586,Ryerson Holding,"4,408.40",31,106.00,519.9,"2,086.30",320.50,4600,100,male,Materials,Chicago,Illinois,2019
587,Syneos Health,"4,390.10",64.3,24.30,-,"7,254.90","5,367.50",24000,209,male,Health Care,Morrisville,North Carolina,2019
588,Vulcan Materials,"4,382.90",12.7,515.80,-14.2,"9,832.10","15,636.90",8782,27,male,Materials,Birmingham,Alabama,2019
589,Westinghouse Air Brake,"4,363.50",12.4,294.90,12.5,"8,649.20","11,971.80",18000,28,male,Industrials,Pittsburgh,Pennsylvania,2019
590,JELD-WEN Holding,"4,346.70",15.5,144.40,1237.8,"3,051.10","1,781.10",23000,35,male,Materials,Charlotte,North Carolina,2019
591,Broadridge Financial Solutions,"4,329.90",4.5,427.90,30.9,"3,304.70","11,994.90",10000,1,male,Business Services,Lake Success,New York,2019
592,Amkor Technology,"4,316.50",3.1,127.10,-51.3,"4,495.40","2,045.90",30850,-5,male,Technology,Tempe,Arizona,2019
593,CNO Financial Group,"4,313.50",0.4,-315.00,-279.4,"31,439.80","2,608.80",3300,-13,male,Financials,Carmel,Indiana,2019
594,CME Group,"4,309.40",18.2,"1,962.20",-51.7,"77,475.70","58,893.10",4590,47,male,Financials,Chicago,Illinois,2019
595,Globe Life,"4,303.80",3.6,701.50,-51.8,"23,095.70","9,040.20",3102,-4,male,Financials,McKinney,Texas,2019
596,Encompass Health,"4,277.30",7.7,292.30,14,"5,175.00","5,766.60",33050,10,male,Health Care,Birmingham,Alabama,2019
597,Nasdaq,"4,277.00",7.9,458.00,-37.6,"15,700.00","14,472.30",4099,11,female,Financials,New York,New York,2019
598,Evergy,"4,275.90",66.3,535.80,65.4,"25,598.10","14,668.80",4832,219,male,Energy,Topeka,Kansas,2019
599,Leggett & Platt,"4,269.50",8.3,305.90,4.5,"3,382.00","5,540.20",22000,10,male,Household Products,Carthage,Missouri,2019
600,IAC/InterActiveCorp,"4,262.90",28.9,627.00,105.6,"6,874.60","17,602.10",7800,98,male,Technology,New York,New York,2019
601,Martin Marietta Materials,"4,244.30",7,470.00,-34.1,"9,551.40","12,559.80",8714,6,male,Materials,Raleigh,North Carolina,2019
602,CA,"4,235.00",4.9,476.00,-38.6,"13,060.00",-,11300,-4,male,Technology,New York City,New York,2019
603,OneMain Holdings,"4,232.00",12.7,447.00,144.3,"20,090.00","4,317.70",10200,23,male,Financials,Evansville,Indiana,2019
604,Taylor Morrison Home,"4,227.40",8.8,206.40,126.2,"5,264.40","1,951.00",2300,12,female,Engineering & Construction,Scottsdale,Arizona,2019
605,Iron Mountain,"4,225.80",9.9,363.40,97.7,"11,852.20","10,154.50",26200,14,male,Business Services,Boston,Massachusetts,2019
606,Laureate Education,"4,219.90",-3.6,370.10,304.6,"6,769.60","3,358.00",49500,-38,male,Business Services,Baltimore,Maryland,2019
607,Zebra Technologies,"4,218.00",13.3,421.00,2376.5,"4,339.00","11,287.50",7400,21,male,Industrials,Lincolnshire,Illinois,2019
608,Quad/Graphics,"4,193.70",1.5,8.50,-92.1,"2,469.10",610.70,20600,-15,male,Media,Sussex,Wisconsin,2019
609,Meritor,"4,178.00",24.8,117.00,-63.9,"2,726.00","1,696.90",8600,83,male,Motor Vehicles & Parts,Troy,Michigan,2019
610,MRC Global,"4,172.00",14.4,74.00,48,"2,434.00","1,477.20",3773,30,male,Energy,Houston,Texas,2019
611,Concho Resources,"4,151.00",60.5,"2,286.00",139.1,"26,294.00","22,257.90",1503,202,male,Energy,Midland,Texas,2019
612,Church & Dwight,"4,145.90",9.8,568.60,-23.5,"6,069.20","17,517.80",4700,11,male,Household Products,Ewing,New Jersey,2019
613,Antero Resources,"4,139.60",13.2,-397.50,-164.6,"15,519.50","2,725.40",623,23,male,Energy,Denver,Colorado,2019
614,Alexion Pharmaceuticals,"4,131.20",16.3,77.60,-82.5,"13,931.90","30,320.90",2656,42,male,Health Care,Boston,Massachusetts,2019
615,Bloomin' Brands,"4,126.40",-2.1,107.10,6.8,"2,464.80","1,873.90",93000,-31,male,"Hotels, Restaurants & Leisure",Tampa,Florida,2019
616,Buckeye Partners,"4,108.30",12.6,-59.00,-112.3,"9,355.60","5,460.60",1850,23,male,Energy,Houston,Texas,2019
617,Ingles Markets,"4,092.80",2.3,97.40,80.7,"1,824.90",559.60,17940,-16,male,Food & Drug Stores,Black Mountain,North Carolina,2019
618,Bemis,"4,089.90",1.1,225.70,140.1,"3,571.00","5,060.40",15694,-21,male,Materials,Neenah,Wisconsin,2019
619,Snap-on,"4,070.40",1.8,679.90,21.9,"5,373.10","8,700.20",12600,-17,male,Industrials,Kenosha,Wisconsin,2019
620,SCANA,"4,052.00",-8.1,-528.00,-,"17,654.00",-,5200,-56,male,Energy,Cayce,South Carolina,2019
621,Allegheny Technologies,"4,046.60",14.8,222.40,-,"5,501.80","3,224.60",8800,42,male,Materials,Pittsburgh,Pennsylvania,2019
622,Old Dominion Freight Line,"4,043.70",20.4,605.70,30.6,"3,545.30","11,716.80",21279,67,male,Transportation,Thomasville,North Carolina,2019
623,KLA-Tencor,"4,036.70",16,802.30,-13.4,"5,619.40","19,543.10",6550,44,male,Technology,Milpitas,California,2019
624,American Eagle Outfitters,"4,035.70",6.3,261.90,28.3,"1,903.40","3,826.20",27000,-2,male,Retailing,Pittsburgh,Pennsylvania,2019
625,Nexeo Solutions,"4,034.20",10.9,29.40,104.2,"2,243.60",-,2760,18,male,Wholesalers,The Woodlands,Texas,2019
626,Total System Services,"4,028.20",-18.3,576.70,-1.6,"7,468.70","16,854.90",13100,-97,male,Business Services,Columbus,Georgia,2019
627,Warner Music Group,"4,005.00",12,307.00,114.7,"5,344.00",-,4660,24,male,Media,New York City,New York,2019
628,Dentsply Sirona,"3,986.30",-0.2,"-1,011.00",-,"8,687.00","11,069.40",16400,-25,male,Health Care,Charlotte,North Carolina,2019
629,Microchip Technology,"3,980.80",16.2,255.40,55.1,"8,257.20","19,658.90",14234,46,male,Technology,Chandler,Arizona,2019
630,International Flavors & Fragrances,"3,977.50",17,337.30,14.1,"12,889.40","13,733.50",13209,50,male,Chemicals,New York,New York,2019
631,Gartner,"3,975.50",20.1,122.50,3634.6,"6,201.50","13,607.50",15173,66,male,Technology,Stamford,Connecticut,2019
632,Element Solutions,"3,952.80",4.7,-324.40,-,"9,401.50","2,549.20",4450,-8,male,Chemicals,West Palm Beach,Florida,2019
633,Flowers Foods,"3,951.90",0.8,157.20,4.7,"2,845.50","4,496.40",9200,-21,male,"Food, Beverages & Tobacco",Thomasville,Georgia,2019
634,Urban Outfitters,"3,950.60",9.3,298.00,175.3,"2,160.50","3,131.20",16800,11,male,Retailing,Philadelphia,Pennsylvania,2019
635,Sally Beauty Holdings,"3,932.60",-0.1,258.00,20,"2,097.40","2,219.30",21955,-24,male,Retailing,Denton,Texas,2019
636,Worldpay,"3,925.40",-2.5,12.80,-90.2,"24,888.50","35,305.80",8186,-36,male,Business Services,Cincinnati,Ohio,2019
637,Lennox International,"3,883.90",1.2,359.00,17.4,"1,817.20","10,542.20",11350,-17,male,Industrials,Richardson,Texas,2019
638,Keysight Technologies,"3,878.00",21.6,165.00,61.8,"5,824.00","16,392.60",12900,72,male,Technology,Santa Rosa,California,2019
639,Greif,"3,873.80",6.5,209.40,76.6,"3,194.80","2,158.10",13000,3,male,Materials,Delaware,Ohio,2019
640,Skyworks Solutions,"3,868.00",5.9,918.40,-9.1,"4,828.90","14,269.20",9400,-3,male,Technology,Woburn,Massachusetts,2019
641,Sabre,"3,867.00",7.5,337.50,39.2,"5,806.40","5,893.60",8860,6,male,Technology,Southlake,Texas,2019
642,Southwestern Energy,"3,862.00",20.6,537.00,-48.7,"5,797.00","2,538.80",960,67,male,Energy,Spring,Texas,2019
643,ScanSource,"3,846.30",7.8,33.20,-52.1,"1,945.30",920.70,2600,10,male,Wholesalers,Greenville,South Carolina,2019
644,Green Plains,"3,843.40",6.9,15.90,-73.9,"2,216.40",690.90,1194,4,male,Energy,Omaha,Nebraska,2019
645,Flowserve,"3,832.70",4.7,119.70,4412.5,"4,616.30","5,912.60",17000,-10,male,Industrials,Irving,Texas,2019
646,WABCO Holdings,"3,831.00",15.9,394.10,-3,"3,738.60","6,773.00",16135,54,male,Motor Vehicles & Parts,Auburn Hills,Michigan,2019
647,Aaron's,"3,828.90",13.2,196.20,-32.9,"2,826.70","3,565.10",11800,34,male,Retailing,Atlanta,Georgia,2019
648,Insperity,"3,828.50",16,135.40,60.4,"1,191.80","5,062.30",3200,53,male,Business Services,Kingwood,Texas,2019
649,LSC Communications,"3,826.00",6.2,-23.00,-,"1,754.00",217.60,22000,-3,male,Media,Chicago,Illinois,2019
650,TransDigm Group,"3,822.90",8.3,957.10,60.3,"12,197.50","24,014.80",10100,12,male,Aerospace & Defense,Cleveland,Ohio,2019
651,Monster Beverage,"3,807.20",13,993.00,21,"4,526.90","29,645.00",2748,33,male,"Food, Beverages & Tobacco",Corona,California,2019
652,Hexion,"3,797.00",5.7,-162.00,-,"1,961.00",-,4000,-3,male,Chemicals,Columbus,Ohio,2019
653,Edwards Lifesciences,"3,772.80",9.8,722.20,23.7,"5,323.70","39,817.60",12800,21,male,Health Care,Irvine,California,2019
654,Sprague Resources,"3,771.10",32.1,79.80,170.6,"1,245.20",420.10,901,104,male,Wholesalers,Portsmouth,New Hampshire,2019
655,Kar Auction Services,"3,769.60",9,328.00,-9.4,"7,206.20","6,819.20",16468,16,male,Wholesalers,Carmel,Indiana,2019
656,Resolute Forest Products,"3,756.00",6.9,235.00,-,"3,935.00",716.80,7400,8,male,Materials,Montreal,Quebec,2019
657,Ventas,"3,745.80",4.8,409.50,-69.8,"22,584.60","22,757.70",500,-5,female,Financials,Chicago,Illinois,2019
658,Ashland Global Holdings,"3,743.00",14.8,114.00,11300,"8,252.00","4,892.40",6000,47,male,Chemicals,Covington,Kentucky,2019
659,Pitney Bowes,"3,733.90",5.2,223.70,-14.4,"5,972.90","1,271.70",13300,-2,male,Technology,Stamford,Connecticut,2019
660,Kemper,"3,725.10",36.8,190.10,57.2,"11,544.90","4,944.00",8100,130,male,Financials,Chicago,Illinois,2019
661,Intuitive Surgical,"3,724.20",19,"1,127.90",70.9,"7,846.70","65,822.90",5527,58,male,Health Care,Sunnyvale,California,2019
662,CUNA Mutual Group,"3,698.80",4.5,214.90,-29.1,"20,569.90",-,3300,-2,male,Financials,Madison,Wisconsin,2019
663,Pinnacle West Capital,"3,691.20",3.5,511.00,4.6,"17,664.20","10,731.20",6259,-9,male,Energy,Phoenix,Arizona,2019
664,BMC Stock Holdings,"3,682.40",9.4,119.70,108.5,"1,576.10","1,175.20",9500,21,male,Wholesalers,Raleigh,North Carolina,2019
665,Acuity Brands,"3,680.10",5,349.60,8.7,"2,988.80","4,787.50",13000,-,male,Industrials,Atlanta,Georgia,2019
666,Colfax,"3,666.80",-1.9,140.20,-7.2,"6,603.90","3,482.70",15500,-39,male,Industrials,Annapolis Junction,Maryland,2019
